Rank,player,club,nationality,position,shots,shotsOnTarget,shotsOnTargetPercent
9,Oliver Skipp,Tottenham Hotspur,England,MID,2,0,0
10,Mousa Dembélé,Tottenham Hotspur,Belgium,MID,1,0,0
1,Roberto Pereyra,Watford,Argentina,MID,57,21,37
2,Abdoulaye Doucouré,Watford,France,MID,52,17,33
3,Will Hughes,Watford,England,MID,31,7,23
4,Etienne Capoue,Watford,France,MID,18,4,22
5,Ken Sema,Watford,Sweden,MID,12,4,33
6,Domingos Quina,Watford,Portugal,MID,5,1,20
7,Tom Cleverley,Watford,England,MID,4,2,50
8,Nathaniel Chalobah,Watford,England,MID,2,1,50
1,Michail Antonio,West Ham United,England,MID,65,25,38
3,Felipe Anderson,West Ham United,Brazil,MID,58,25,43
5,Robert Snodgrass,West Ham United,Scotland,MID,30,7,23
6,Declan Rice,West Ham United,England,MID,22,5,23
8,Mark Noble,West Ham United,England,MID,17,8,47
9,Pedro Obiang,West Ham United,Equatorial Guinea,MID,15,1,7
13,Manuel Lanzini,West Ham United,Argentina,MID,11,4,36
15,Grady Diangana,West Ham United,England,MID,10,3,30
21,Samir Nasri,West Ham United,France,MID,3,0,0
21,Carlos Sánchez,West Ham United,Colombia,MID,3,0,0
23,Jack Wilshere,West Ham United,England,MID,2,1,50
3,Diogo Jota,Wolverhampton Wanderers,Portugal,MID,58,24,41
9,João Moutinho,Wolverhampton Wanderers,Portugal,MID,18,3,17
10,Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,17,10,59
13,Romain Saïss,Wolverhampton Wanderers,Morocco,MID,11,5,45
14,Léo Bonatini,Wolverhampton Wanderers,Brazil,MID,9,1,11
15,Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,8,1,13
7,Nathan Aké,AFC Bournemouth,Netherlands,DEF,25,9,36
8,Steve Cook,AFC Bournemouth,England,DEF,21,9,43
10,Charlie Daniels,AFC Bournemouth,England,DEF,12,3,25
13,Diego Rico,AFC Bournemouth,Spain,DEF,9,0,0
16,Adam Smith,AFC Bournemouth,England,DEF,7,1,14
18,Simon Francis,AFC Bournemouth,England,DEF,3,1,33
19,Nathaniel Clyne,AFC Bournemouth,England,DEF,2,0,0
19,Chris Mepham,AFC Bournemouth,Wales,DEF,2,0,0
19,Jack Simpson,AFC Bournemouth,England,DEF,2,0,0
8,Héctor Bellerín,Arsenal,Spain,DEF,18,4,22
8,Shkodran Mustafi,Arsenal,Germany,DEF,18,9,50
11,Sokratis,Arsenal,Greece,DEF,11,2,18
13,Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,9,2,22
14,Nacho Monreal,Arsenal,Spain,DEF,7,4,57
16,Laurent Koscielny,Arsenal,France,DEF,5,4,80
20,Rob Holding,Arsenal,England,DEF,2,0,0
20,Konstantinos Mavropanos,Arsenal,Greece,DEF,2,0,0
23,Stephan Lichtsteiner,Arsenal,Switzerland,DEF,1,0,0
