player,club,nationality,position,appearances
Stephen Ward,Burnley,Ireland,DEF,3
Ben Gibson,Burnley,England,DEF,1
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,38
Sean Morrison,Cardiff City,England,DEF,34
Joe Bennett,Cardiff City,England,DEF,30
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,28
Callum Paterson,Cardiff City,Scotland,DEF,27
Lee Peltier,Cardiff City,England,DEF,20
Greg Cunningham,Cardiff City,Ireland,DEF,7
Jazz Richards,Cardiff City,Wales,DEF,4
César Azpilicueta,Chelsea,Spain,DEF,38
David Luiz,Chelsea,Brazil,DEF,36
Antonio Rüdiger,Chelsea,Germany,DEF,33
Marcos Alonso,Chelsea,Spain,DEF,31
Emerson,Chelsea,Italy,DEF,10
Andreas Christensen,Chelsea,Denmark,DEF,8
Davide Zappacosta,Chelsea,Italy,DEF,4
Gary Cahill,Chelsea,England,DEF,2
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,36
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,30
James Tomkins,Crystal Palace,England,DEF,29
Mamadou Sakho,Crystal Palace,France,DEF,27
Martin Kelly,Crystal Palace,England,DEF,13
Scott Dann,Crystal Palace,England,DEF,10
Joel Ward,Crystal Palace,England,DEF,7
Pape Souaré,Crystal Palace,Senegal,DEF,1
Lucas Digne,Everton,France,DEF,35
Michael Keane,Everton,England,DEF,33
Kurt Zouma,Everton,France,DEF,32
Seamus Coleman,Everton,Ireland,DEF,29
Yerry Mina,Everton,Colombia,DEF,13
Jonjoe Kenny,Everton,England,DEF,10
Phil Jagielka,Everton,England,DEF,7
Leighton Baines,Everton,England,DEF,6
Mason Holgate,Everton,England,DEF,5
Calum Chambers,Fulham,England,DEF,31
Denis Odoi,Fulham,Belgium,DEF,31
Joe Bryan,Fulham,England,DEF,28
Cyrus Christie,Fulham,Ireland,DEF,28
Maxime Le Marchand,Fulham,France,DEF,26
Tim Ream,Fulham,United States,DEF,26
Alfie Mawson,Fulham,England,DEF,15
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,12
Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,7
Håvard Nordtveit,Fulham,Norway,DEF,5
Christopher Schindler,Huddersfield Town,Germany,DEF,37
Terence Kongolo,Huddersfield Town,Netherlands,DEF,32
Chris Löwe,Huddersfield Town,Germany,DEF,29
Erik Durm,Huddersfield Town,Germany,DEF,28
Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,24
Zanka,Huddersfield Town,Denmark,DEF,24
Tommy Smith,Huddersfield Town,England,DEF,15
Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,11
Demeaco Duhaney,Huddersfield Town,England,DEF,1
Ben Chilwell,Leicester City,England,DEF,36
Ricardo Pereira,Leicester City,Portugal,DEF,35
Harry Maguire,Leicester City,England,DEF,31
Jonny Evans,Leicester City,Northern Ireland,DEF,24
Wes Morgan,Leicester City,Jamaica,DEF,22
Danny Simpson,Leicester City,England,DEF,6
Çaglar Söyüncü,Leicester City,Turkey,DEF,6
Christian Fuchs,Leicester City,Austria,DEF,3
Virgil van Dijk,Liverpool,Netherlands,DEF,38
Andrew Robertson,Liverpool,Scotland,DEF,36
Trent Alexander-Arnold,Liverpool,England,DEF,29
Joel Matip,Liverpool,Cameroon,DEF,22
Joseph Gomez,Liverpool,England,DEF,16
Dejan Lovren,Liverpool,Croatia,DEF,13
Nathaniel Clyne,Liverpool,England,DEF,4
Alberto Moreno,Liverpool,Spain,DEF,2
Aymeric Laporte,Manchester City,France,DEF,35
Kyle Walker,Manchester City,England,DEF,33
John Stones,Manchester City,England,DEF,24
Nicolás Otamendi,Manchester City,Argentina,DEF,18
Vincent Kompany,Manchester City,Belgium,DEF,17
Danilo,Manchester City,Brazil,DEF,11
Fabian Delph,Manchester City,England,DEF,11
Benjamin Mendy,Manchester City,France,DEF,10
Victor Lindelöf,Manchester United,Sweden,DEF,30
Ashley Young,Manchester United,England,DEF,30
Luke Shaw,Manchester United,England,DEF,29
Chris Smalling,Manchester United,England,DEF,24
Phil Jones,Manchester United,England,DEF,18
Diogo Dalot,Manchester United,Portugal,DEF,16
Eric Bailly,Manchester United,Cote D'Ivoire,DEF,12
Matteo Darmian,Manchester United,Italy,DEF,6
Antonio Valencia,Manchester United,Ecuador,DEF,6
Marcos Rojo,Manchester United,Argentina,DEF,5
Jamaal Lascelles,Newcastle United,England,DEF,32
DeAndre Yedlin,Newcastle United,United States,DEF,29
Paul Dummett,Newcastle United,Wales,DEF,26
Fabian Schär,Newcastle United,Switzerland,DEF,24
Federico Fernández,Newcastle United,Argentina,DEF,19
Javier Manquillo,Newcastle United,Spain,DEF,18
Florian Lejeune,Newcastle United,France,DEF,12
Ciaran Clark,Newcastle United,Ireland,DEF,11
Antonio Barreca,Newcastle United,Italy,DEF,1
Jan Bednarek,Southampton,Poland,DEF,25
Ryan Bertrand,Southampton,England,DEF,24
Jack Stephens,Southampton,England,DEF,24
Yan Valery,Southampton,France,DEF,23
Jannik Vestergaard,Southampton,Denmark,DEF,23
Cédric Soares,Southampton,Portugal,DEF,18
Maya Yoshida,Southampton,Japan,DEF,17
Matt Targett,Southampton,England,DEF,16
Wesley Hoedt,Southampton,Netherlands,DEF,13
Kayne Ramsay,Southampton,England,DEF,1
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,34
Ben Davies,Tottenham Hotspur,Wales,DEF,27
Kieran Trippier,Tottenham Hotspur,England,DEF,27
Danny Rose,Tottenham Hotspur,England,DEF,26
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,23
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,22
Juan Foyth,Tottenham Hotspur,Argentina,DEF,12
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,8
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,6
Craig Cathcart,Watford,Northern Ireland,DEF,36
Kiko Femenía,Watford,Spain,DEF,29
José Holebas,Watford,Greece,DEF,28
Adrian Mariappa,Watford,Jamaica,DEF,26
Christian Kabasele,Watford,Belgium,DEF,21
Daryl Janmaat,Watford,Netherlands,DEF,18
Adam Masina,Watford,Italy,DEF,14
Miguel Britos,Watford,Uruguay,DEF,3
Marc Navarro,Watford,Spain,DEF,2
Ben Wilmot,Watford,England,DEF,2
Sebastian Prödl,Watford,Austria,DEF,1
Declan Rice,West Ham United,England,DEF,34
Issa Diop,West Ham United,France,DEF,33
Pablo Zabaleta,West Ham United,Argentina,DEF,26
Angelo Ogbonna,West Ham United,Italy,DEF,24
Fabián Balbuena,West Ham United,Paraguay,DEF,23
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,23
Aaron Cresswell,West Ham United,England,DEF,20
Ryan Fredericks,West Ham United,England,DEF,15
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,38
Willy Boly,Wolverhampton Wanderers,France,DEF,36
Ryan Bennett,Wolverhampton Wanderers,England,DEF,34
Jonny,Wolverhampton Wanderers,Spain,DEF,33
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,17
Max Kilman,Wolverhampton Wanderers,England,DEF,1
