rank,player,club,nationality,position,minutesPlayed
6,Fred,Manchester United,Brazil,MID,"1,042"
7,Scott McTominay,Manchester United,Scotland,MID,862
8,Marouane Fellaini,Manchester United,Belgium,MID,746
9,Andreas Pereira,Manchester United,Brazil,MID,594
1,Matt Ritchie,Newcastle United,Scotland,MID,"2,939"
2,Mohamed Diamé,Newcastle United,Senegal,MID,"2,166"
3,Isaac Hayden,Newcastle United,England,MID,"1,864"
4,Christian Atsu,Newcastle United,Ghana,MID,"1,488"
5,Kenedy,Newcastle United,Brazil,MID,"1,343"
6,Ki Sung-yueng,Newcastle United,South Korea,MID,"1,302"
7,Jonjo Shelvey,Newcastle United,England,MID,944
8,Miguel Almirón,Newcastle United,Paraguay,MID,763
9,Sean Longstaff,Newcastle United,England,MID,687
10,Jacob Murphy,Newcastle United,England,MID,300
1,Nathan Redmond,Southampton,England,MID,"3,275"
2,Pierre-Emile Højbjerg,Southampton,Denmark,MID,"2,764"
3,Oriol Romeu,Southampton,Spain,MID,"2,139"
4,James Ward-Prowse,Southampton,England,MID,"1,942"
5,Mario Lemina,Southampton,Gabon,MID,"1,614"
6,Stuart Armstrong,Southampton,Scotland,MID,"1,431"
7,Mohamed Elyounoussi,Southampton,Norway,MID,790
8,Josh Sims,Southampton,England,MID,209
9,Callum Slattery,Southampton,England,MID,110
10,Steven Davis,Southampton,Northern Ireland,MID,97
11,Tyreke Johnson,Southampton,England,MID,1
1,Christian Eriksen,Tottenham Hotspur,Denmark,MID,"2,771"
2,Moussa Sissoko,Tottenham Hotspur,France,MID,"2,337"
3,Lucas Moura,Tottenham Hotspur,Brazil,MID,"2,128"
4,Dele Alli,Tottenham Hotspur,England,MID,"1,833"
5,Harry Winks,Tottenham Hotspur,England,MID,"1,592"
6,Eric Dier,Tottenham Hotspur,England,MID,"1,509"
7,Erik Lamela,Tottenham Hotspur,Argentina,MID,972
8,Mousa Dembélé,Tottenham Hotspur,Belgium,MID,515
9,Victor Wanyama,Tottenham Hotspur,Kenya,MID,513
10,Oliver Skipp,Tottenham Hotspur,England,MID,216
11,Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,4
12,Luke Amos,Tottenham Hotspur,England,MID,2
1,Abdoulaye Doucouré,Watford,France,MID,"3,062"
2,Etienne Capoue,Watford,France,MID,"2,946"
3,Roberto Pereyra,Watford,Argentina,MID,"2,821"
4,Will Hughes,Watford,England,MID,"2,433"
5,Ken Sema,Watford,Sweden,MID,755
6,Tom Cleverley,Watford,England,MID,471
7,Domingos Quina,Watford,Portugal,MID,334
8,Nathaniel Chalobah,Watford,England,MID,267
1,Felipe Anderson,West Ham United,Brazil,MID,"3,051"
2,Mark Noble,West Ham United,England,MID,"2,308"
3,Robert Snodgrass,West Ham United,Scotland,MID,"2,221"
4,Michail Antonio,West Ham United,England,MID,"2,099"
5,Pedro Obiang,West Ham United,Equatorial Guinea,MID,"1,120"
6,Manuel Lanzini,West Ham United,Argentina,MID,689
7,Grady Diangana,West Ham United,England,MID,605
8,Jack Wilshere,West Ham United,England,MID,389
9,Samir Nasri,West Ham United,France,MID,245
10,Carlos Sánchez,West Ham United,Colombia,MID,240
11,Ben Johnson,West Ham United,England,MID,63
1,Conor Coady,Wolverhampton Wanderers,England,MID,"3,420"
2,João Moutinho,Wolverhampton Wanderers,Portugal,MID,"3,038"
3,Rúben Neves,Wolverhampton Wanderers,Portugal,MID,"3,009"
4,Diogo Jota,Wolverhampton Wanderers,Portugal,MID,"2,368"
5,Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,"1,469"
6,Hélder Costa,Wolverhampton Wanderers,Portugal,MID,"1,345"
7,Romain Saïss,Wolverhampton Wanderers,Morocco,MID,"1,144"
8,Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,650
1,Nathan Aké,AFC Bournemouth,Netherlands,DEF,"3,412"
2,Steve Cook,AFC Bournemouth,England,DEF,"2,787"
3,Adam Smith,AFC Bournemouth,England,DEF,"2,072"
4,Charlie Daniels,AFC Bournemouth,England,DEF,"1,585"
5,Simon Francis,AFC Bournemouth,England,DEF,"1,227"
6,Nathaniel Clyne,AFC Bournemouth,England,DEF,"1,145"
7,Chris Mepham,AFC Bournemouth,Wales,DEF,850
8,Diego Rico,AFC Bournemouth,Spain,DEF,607
9,Jack Simpson,AFC Bournemouth,England,DEF,403
10,Tyrone Mings,AFC Bournemouth,England,DEF,142
1,Shkodran Mustafi,Arsenal,Germany,DEF,"2,615"
2,Sokratis,Arsenal,Greece,DEF,"2,199"
3,Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,"1,890"
4,Nacho Monreal,Arsenal,Spain,DEF,"1,861"
5,Héctor Bellerín,Arsenal,Spain,DEF,"1,533"
6,Laurent Koscielny,Arsenal,France,DEF,"1,330"
7,Stephan Lichtsteiner,Arsenal,Switzerland,DEF,940
8,Rob Holding,Arsenal,England,DEF,807
9,Carl Jenkinson,Arsenal,England,DEF,165
10,Konstantinos Mavropanos,Arsenal,Greece,DEF,149
1,Lewis Dunk,Brighton and Hove Albion,England,DEF,"3,153"
2,Shane Duffy,Brighton and Hove Albion,Ireland,DEF,"3,088"
3,Martín Montoya,Brighton and Hove Albion,Spain,DEF,"2,166"
4,Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,"1,805"
5,Bernardo,Brighton and Hove Albion,Brazil,DEF,"1,750"
6,Bruno,Brighton and Hove Albion,Spain,DEF,"1,136"
7,Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,591
1,Ben Mee,Burnley,England,DEF,"3,420"
2,Charlie Taylor,Burnley,England,DEF,"3,240"
3,James Tarkowski,Burnley,England,DEF,"3,087"
4,Matthew Lowton,Burnley,England,DEF,"1,748"
5,Phil Bardsley,Burnley,Scotland,DEF,"1,672"
6,Kevin Long,Burnley,Ireland,DEF,513
7,Stephen Ward,Burnley,Ireland,DEF,230
8,Ben Gibson,Burnley,England,DEF,63
1,Bruno Ecuele Manga,Cardiff City,Gabon,DEF,"3,375"
2,Sean Morrison,Cardiff City,England,DEF,"3,040"
3,Joe Bennett,Cardiff City,England,DEF,"2,641"
4,Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,"2,475"
5,Callum Paterson,Cardiff City,Scotland,DEF,"1,996"
6,Lee Peltier,Cardiff City,England,DEF,"1,543"
7,Greg Cunningham,Cardiff City,Ireland,DEF,630
8,Jazz Richards,Cardiff City,Wales,DEF,129
1,César Azpilicueta,Chelsea,Spain,DEF,"3,403"
2,David Luiz,Chelsea,Brazil,DEF,"3,239"
3,Antonio Rüdiger,Chelsea,Germany,DEF,"2,874"
4,Marcos Alonso,Chelsea,Spain,DEF,"2,761"
5,Emerson,Chelsea,Italy,DEF,660
