player,club,nationality,position,touches
Pedro Obiang,West Ham United,Equatorial Guinea,MID,723
Manuel Lanzini,West Ham United,Argentina,MID,574
Grady Diangana,West Ham United,England,MID,433
Jack Wilshere,West Ham United,England,MID,282
Samir Nasri,West Ham United,France,MID,178
Carlos Sánchez,West Ham United,Colombia,MID,172
Ben Johnson,West Ham United,England,MID,33
João Moutinho,Wolverhampton Wanderers,Portugal,MID,2500
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,2445
Conor Coady,Wolverhampton Wanderers,England,MID,1978
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,1277
Romain Saïss,Wolverhampton Wanderers,Morocco,MID,960
Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,858
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,768
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,448
