rank,player,club,nationality,position,crosses
6,Daniel Sturridge,Liverpool,England,FWD,3
1,Leroy Sané,Manchester City,Germany,FWD,98
4,Raheem Sterling,Manchester City,England,FWD,75
11,Sergio Agüero,Manchester City,Argentina,FWD,13
15,Gabriel Jesus,Manchester City,Brazil,FWD,4
1,Marcus Rashford,Manchester United,England,FWD,55
2,Romelu Lukaku,Manchester United,Belgium,FWD,46
3,Anthony Martial,Manchester United,France,FWD,34
4,Alexis Sánchez,Manchester United,Chile,FWD,24
5,Mason Greenwood,Manchester United,England,FWD,1
1,Ayoze Pérez,Newcastle United,Spain,FWD,22
2,Salomón Rondón,Newcastle United,Venezuela,FWD,14
3,Yoshinori Muto,Newcastle United,Japan,FWD,4
4,Joselu,Newcastle United,Spain,FWD,3
1,Danny Ings,Southampton,England,FWD,14
1,Shane Long,Southampton,Ireland,FWD,14
3,Manolo Gabbiadini,Southampton,Italy,FWD,4
4,Michael Obafemi,Southampton,Ireland,FWD,1
1,Son Heung-Min,Tottenham Hotspur,South Korea,FWD,25
2,Harry Kane,Tottenham Hotspur,England,FWD,12
3,Vincent Janssen,Tottenham Hotspur,Netherlands,FWD,1
3,Fernando Llorente,Tottenham Hotspur,Spain,FWD,1
1,Gerard Deulofeu,Watford,Spain,FWD,62
2,Troy Deeney,Watford,England,FWD,16
3,Isaac Success,Watford,Nigeria,FWD,13
4,Andre Gray,Watford,England,FWD,8
1,Marko Arnautovic,West Ham United,Austria,FWD,18
2,Andriy Yarmolenko,West Ham United,Ukraine,FWD,10
3,Chicharito,West Ham United,Mexico,FWD,9
4,Lucas Pérez,West Ham United,Spain,FWD,2
5,Andy Carroll,West Ham United,England,FWD,1
1,Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,54
2,Adama Traoré,Wolverhampton Wanderers,Spain,FWD,35
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,27
4,Léo Bonatini,Wolverhampton Wanderers,Brazil,FWD,4
1,Ryan Fraser,AFC Bournemouth,Scotland,MID,271
2,Junior Stanislas,AFC Bournemouth,England,MID,37
3,David Brooks,AFC Bournemouth,Wales,MID,33
4,Jordon Ibe,AFC Bournemouth,England,MID,27
5,Lewis Cook,AFC Bournemouth,England,MID,10
6,Dan Gosling,AFC Bournemouth,England,MID,6
7,Jefferson Lerma,AFC Bournemouth,Colombia,MID,4
8,Andrew Surman,AFC Bournemouth,England,MID,1
1,Granit Xhaka,Arsenal,Switzerland,MID,129
2,Henrikh Mkhitaryan,Arsenal,Armenia,MID,63
3,Alex Iwobi,Arsenal,Nigeria,MID,57
4,Mesut Özil,Arsenal,Germany,MID,42
5,Lucas Torreira,Arsenal,Uruguay,MID,28
6,Ainsley Maitland-Niles,Arsenal,England,MID,18
7,Matteo Guendouzi,Arsenal,France,MID,15
7,Aaron Ramsey,Arsenal,Wales,MID,15
9,Mohamed Elneny,Arsenal,Egypt,MID,3
1,Solly March,Brighton and Hove Albion,England,MID,152
2,Pascal Groß,Brighton and Hove Albion,Germany,MID,142
3,Anthony Knockaert,Brighton and Hove Albion,France,MID,107
4,Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,16
5,Beram Kayal,Brighton and Hove Albion,Israel,MID,10
6,Yves Bissouma,Brighton and Hove Albion,Mali,MID,8
7,Dale Stephens,Brighton and Hove Albion,England,MID,2
1,Johann Gudmundsson,Burnley,Iceland,MID,119
2,Ashley Westwood,Burnley,England,MID,87
3,Robbie Brady,Burnley,Ireland,MID,53
4,Jeff Hendrick,Burnley,Ireland,MID,24
4,Aaron Lennon,Burnley,England,MID,24
6,Jack Cork,Burnley,England,MID,14
7,Steven Defour,Burnley,Belgium,MID,4
1,Víctor Camarasa,Cardiff City,Spain,MID,121
