rank,player,club,nationality,position,throughBalls
7,Jacob Murphy,Newcastle United,England,MID,1
7,Kenedy,Newcastle United,Brazil,MID,1
1,Pierre-Emile Højbjerg,Southampton,Denmark,MID,7
2,Nathan Redmond,Southampton,England,MID,6
3,Mario Lemina,Southampton,Gabon,MID,3
4,Mohamed Elyounoussi,Southampton,Norway,MID,2
5,Steven Davis,Southampton,Northern Ireland,MID,1
5,Oriol Romeu,Southampton,Spain,MID,1
1,Christian Eriksen,Tottenham Hotspur,Denmark,MID,24
2,Dele Alli,Tottenham Hotspur,England,MID,18
3,Erik Lamela,Tottenham Hotspur,Argentina,MID,6
4,Eric Dier,Tottenham Hotspur,England,MID,5
4,Lucas Moura,Tottenham Hotspur,Brazil,MID,5
6,Harry Winks,Tottenham Hotspur,England,MID,1
1,Etienne Capoue,Watford,France,MID,5
1,Abdoulaye Doucouré,Watford,France,MID,5
3,Roberto Pereyra,Watford,Argentina,MID,3
4,Will Hughes,Watford,England,MID,2
1,Felipe Anderson,West Ham United,Brazil,MID,22
2,Mark Noble,West Ham United,England,MID,10
3,Robert Snodgrass,West Ham United,Scotland,MID,9
4,Michail Antonio,West Ham United,England,MID,5
5,Manuel Lanzini,West Ham United,Argentina,MID,4
6,Pedro Obiang,West Ham United,Equatorial Guinea,MID,2
7,Carlos Sánchez,West Ham United,Colombia,MID,1
7,Jack Wilshere,West Ham United,England,MID,1
1,Rúben Neves,Wolverhampton Wanderers,Portugal,MID,11
2,Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,4
2,João Moutinho,Wolverhampton Wanderers,Portugal,MID,4
4,Conor Coady,Wolverhampton Wanderers,England,MID,3
4,Hélder Costa,Wolverhampton Wanderers,Portugal,MID,3
4,Diogo Jota,Wolverhampton Wanderers,Portugal,MID,3
1,Nathaniel Clyne,AFC Bournemouth,England,DEF,2
2,Nathan Aké,AFC Bournemouth,Netherlands,DEF,1
2,Charlie Daniels,AFC Bournemouth,England,DEF,1
1,Héctor Bellerín,Arsenal,Spain,DEF,6
