rank,player,club,nationality,position,touches
6,Isaac Mbenza,Huddersfield Town,Belgium,MID,382
7,Jason Puncheon,Huddersfield Town,England,MID,284
8,Rajiv van La Parra,Huddersfield Town,Netherlands,MID,211
9,Ramadan Sobhi,Huddersfield Town,Egypt,MID,69
10,Danny Williams,Huddersfield Town,United States,MID,39
11,Aaron Rowe,Huddersfield Town,England,MID,37
12,Matty Daly,Huddersfield Town,England,MID,15
13,Abdelhamid Sabiri,Huddersfield Town,Germany,MID,14
1,Wilfred Ndidi,Leicester City,Nigeria,MID,"2,695"
2,James Maddison,Leicester City,England,MID,"2,098"
3,Nampalys Mendy,Leicester City,France,MID,"1,362"
4,Marc Albrighton,Leicester City,England,MID,"1,084"
5,Demarai Gray,Leicester City,England,MID,"1,066"
6,Youri Tielemans,Leicester City,Belgium,MID,829
7,Rachid Ghezzal,Leicester City,Algeria,MID,626
8,Daniel Amartey,Leicester City,Ghana,MID,530
9,Harvey Barnes,Leicester City,England,MID,528
10,Hamza Choudhury,Leicester City,England,MID,338
11,Vicente Iborra,Leicester City,Spain,MID,173
12,Adrien Silva,Leicester City,Portugal,MID,95
13,Fousseni Diabaté,Leicester City,Mali,MID,22
1,Georginio Wijnaldum,Liverpool,Netherlands,MID,"2,144"
2,Jordan Henderson,Liverpool,England,MID,"2,050"
3,James Milner,Liverpool,England,MID,"1,915"
4,Fabinho,Liverpool,Brazil,MID,"1,914"
5,Naby Keita,Liverpool,Guinea,MID,"1,301"
6,Adam Lallana,Liverpool,England,MID,413
7,Alex Oxlade-Chamberlain,Liverpool,England,MID,20
3,Fernandinho,Manchester City,Brazil,MID,"2,436"
4,David Silva,Manchester City,Spain,MID,"2,407"
5,Ilkay Gündogan,Manchester City,Germany,MID,"2,371"
6,Bernardo Silva,Manchester City,Portugal,MID,"2,286"
9,Oleksandr Zinchenko,Manchester City,Ukraine,MID,"1,509"
15,Riyad Mahrez,Manchester City,Algeria,MID,"1,126"
16,Kevin De Bruyne,Manchester City,Belgium,MID,"1,012"
21,Phil Foden,Manchester City,England,MID,295
1,Paul Pogba,Manchester United,France,MID,"2,747"
2,Nemanja Matic,Manchester United,Serbia,MID,"2,202"
3,Ander Herrera,Manchester United,Spain,MID,"1,258"
4,Jesse Lingard,Manchester United,England,MID,"1,040"
5,Fred,Manchester United,Brazil,MID,988
6,Juan Mata,Manchester United,Spain,MID,906
7,Scott McTominay,Manchester United,Scotland,MID,582
8,Marouane Fellaini,Manchester United,Belgium,MID,569
9,Andreas Pereira,Manchester United,Brazil,MID,463
1,Matt Ritchie,Newcastle United,Scotland,MID,"2,050"
2,Mohamed Diamé,Newcastle United,Senegal,MID,"1,136"
3,Isaac Hayden,Newcastle United,England,MID,"1,084"
